D4ACN5uMEx470nmA,,D4ACN5uMEx460nmA,,D4ACN5uMEx450nmA,,D4ACN5uMEx440nmA,,D4ACN5uMEx430nmA,,D4ACN5uMEx420nmA,,D4ACN5uMEx410nmA,,D4ACN5uMEx400nmA,,D4ACN5uMEx470nmB,,D4ACN5uMEx460nmB,,D4ACN5uMEx450nmB,,D4ACN5uMEx440nmB,,D4ACN5uMEx430nmB,,D4ACN5uMEx420nmB,,D4ACN5uMEx410nmB,,D4ACN5uMEx400nmB,,D4ACN5uMEx470nmC,,D4ACN5uMEx460nmC,,D4ACN5uMEx450nmC,,D4ACN5uMEx440nmC,,D4ACN5uMEx430nmC,,D4ACN5uMEx420nmC,,D4ACN5uMEx410nmC,,D4ACN5uMEx400nmC,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
508.9500122,14.1235075,498.9299927,50.74176025,488.9299927,136.3321991,478.9299927,219.0877075,468.9299927,217.5100403,458.9299927,113.2860718,448.9299927,38.86813736,439.0700073,9.864645958,508.9500122,14.64024639,498.9299927,50.58774185,488.9299927,136.5841827,478.9299927,220.8313293,468.9299927,218.5665283,458.9299927,113.26091,448.9299927,38.72509766,439.0700073,10.03246689,508.9500122,14.81590652,498.9299927,50.2326088,488.9299927,136.3750763,478.9299927,218.6815033,468.9299927,216.8678284,458.9299927,112.1141129,448.9299927,39.01050568,439.0700073,10.02987671
510,14.41748524,500,50.6009407,490,138.618454,480,227.9036102,470,229.7767334,460,124.4247971,450,44.13644409,440,11.47991848,510,14.35505009,500,50.72562408,490,139.0163727,480,227.4754486,470,230.2282867,460,124.7505722,450,44.07964706,440,11.58374023,510,14.08494091,500,51.06901169,490,138.5532684,480,226.6242676,470,229.2514191,460,123.5029221,450,44.15608597,440,11.44661617
511.0400085,14.54296112,501.0400085,50.79432678,491.0599976,141.0476074,481.0599976,234.7150879,471.0599976,242.1013489,461.0599976,135.5968018,451.0599976,49.57740021,441.0599976,13.22297573,511.0400085,14.36024857,501.0400085,51.05879211,491.0599976,140.9420929,481.0599976,236.1949921,471.0599976,243.6538239,461.0599976,135.7428436,451.0599976,50.57540512,441.0599976,13.21210575,511.0400085,14.15994835,501.0400085,51.11307144,491.0599976,140.9807434,481.0599976,234.7112122,471.0599976,241.359375,461.0599976,134.6572113,451.0599976,49.8534584,441.0599976,13.27412415
511.9400024,14.28305149,501.9400024,51.06415176,491.9599915,142.5700226,481.9599915,240.9727325,471.9599915,253.7041931,461.9599915,146.7861176,451.9599915,55.4062767,441.9599915,14.58460903,511.9400024,14.36889839,501.9400024,51.27550888,491.9599915,143.2581177,481.9599915,241.7691345,471.9599915,254.6059723,461.9599915,147.3935852,451.9599915,56.24217987,441.9599915,15.01547623,511.9400024,14.18614864,501.9400024,51.16624451,491.9599915,142.4361877,481.9599915,239.8315277,471.9599915,252.6542816,461.9599915,145.8252411,451.9599915,55.28351212,441.9599915,14.79652214
512.9799805,14.15499496,502.980011,50.83882904,493.0299988,143.6235962,483.0299988,248.0795441,473.0299988,268.0510559,463.0299988,159.1781921,453.0299988,62.310112,443.0299988,17.33300972,512.9799805,14.16679001,502.980011,51.35437012,493.0299988,144.9767761,483.0299988,249.1554871,473.0299988,267.7718811,463.0299988,160.5781708,453.0299988,62.33221817,443.0299988,17.48394012,512.9799805,14.46010685,502.980011,50.65032196,493.0299988,144.2200623,483.0299988,247.9354401,473.0299988,266.3593445,463.0299988,158.8548431,453.0299988,62.12021255,443.0299988,17.56055832
514.0200195,13.91688156,504.019989,50.949543,493.9299927,146.0275116,483.9299927,254.6719055,473.9299927,280.9499817,463.9299927,170.9709778,453.9299927,68.10438538,443.9299927,19.31799507,514.0200195,14.1286211,504.019989,51.47570038,493.9299927,146.8977966,483.9299927,255.5653992,473.9299927,280.7713928,463.9299927,171.2719574,453.9299927,68.7070694,443.9299927,19.92617416,514.0200195,14.16339684,504.019989,50.91557312,493.9299927,145.7266693,483.9299927,254.1746826,473.9299927,279.4848328,463.9299927,169.8579559,453.9299927,68.51663208,443.9299927,19.61133766
515.0700073,14.03969574,505.0700073,50.80914307,495,146.9200439,485,261.1422424,475,292.7237244,465,184.0486298,455,76.59313965,445,22.4846344,515.0700073,13.920681,505.0700073,51.0022316,495,148.0154572,485,261.7996521,475,294.6618958,465,185.0077667,455,77.71898651,445,22.73449898,515.0700073,13.9869194,505.0700073,50.86118317,495,147.3314209,485,259.4153748,475,291.6211853,465,183.7375793,455,76.43286133,445,22.93644142
515.9699707,14.02108383,505.9700012,50.97830582,496.0599976,148.3052216,486.0599976,267.7130432,476.0599976,305.3959351,466.0599976,196.3864288,456.0599976,85.82878113,446.0599976,25.98373032,515.9699707,13.53824139,505.9700012,51.15821457,496.0599976,147.7930908,486.0599976,268.6946716,476.0599976,306.1412048,466.0599976,197.8364716,456.0599976,85.88301849,446.0599976,25.99845886,515.9699707,13.69026661,505.9700012,51.2188797,496.0599976,148.5258789,486.0599976,267.6257629,476.0599976,303.6875916,466.0599976,195.8187408,456.0599976,85.40791321,446.0599976,26.26527977
517.0100098,13.55423546,507.0100098,50.97674942,496.9599915,150.0540619,486.9599915,271.6956482,476.9599915,315.5092163,466.9599915,209.9255066,456.9599915,93.58763885,446.9599915,28.82861137,517.0100098,13.7689085,507.0100098,51.13275909,496.9599915,149.3986053,486.9599915,273.137146,476.9599915,317.0258484,466.9599915,211.518631,456.9599915,94.59560394,446.9599915,29.3083725,517.0100098,13.27357388,507.0100098,51.07274628,496.9599915,149.4160919,486.9599915,271.9220886,476.9599915,314.5357056,466.9599915,208.6191711,456.9599915,93.69736481,446.9599915,29.18759918
518.0499878,13.51011276,508.0499878,50.90490341,498.0299988,150.3519287,488.0299988,277.6990967,478.0299988,328.821106,468.0299988,224.7621765,458.0299988,103.3848648,448.0299988,33.31085968,518.0499878,13.17865658,508.0499878,50.92493439,498.0299988,150.7866669,488.0299988,278.7901611,478.0299988,330.7137756,468.0299988,225.4138184,458.0299988,104.2968445,448.0299988,33.37018585,518.0499878,13.52373123,508.0499878,50.61839294,498.0299988,149.7359619,488.0299988,276.693512,478.0299988,328.3685303,468.0299988,222.6665344,458.0299988,103.5626755,448.0299988,33.1551857
518.9500122,13.61844921,508.9500122,50.63002014,498.9299927,150.9320068,488.9299927,281.5227051,478.9299927,340.539917,468.9299927,236.508667,458.9299927,111.8572083,448.9299927,37.17395782,518.9500122,13.57633877,508.9500122,51.10968018,498.9299927,151.0946503,488.9299927,284.032135,478.9299927,342.1220093,468.9299927,238.5414124,458.9299927,112.7440033,448.9299927,37.30902481,518.9500122,13.69238377,508.9500122,50.78457642,498.9299927,150.7007904,488.9299927,282.0278625,478.9299927,339.0960693,468.9299927,235.0579834,458.9299927,112.3942337,448.9299927,37.46943665
